2000	5	[5312, 5308, 5310, 5307, 1350]
2000	10	[5312, 5308, 5310, 5307, 1350, 1349, 5132, 5131, 1352, 5134]
2000	20	[5312, 5308, 5310, 5307, 1350, 1349, 5132, 5131, 1352, 5134, 1279, 1280]
2000	100	[5312, 5308, 5310, 5307, 1350, 1349, 5132, 5131, 1352, 5134, 1279, 1280]
2001	5	[2510, 2514, 6692, 2511, 10460]
2001	10	[2510, 2514, 6692, 2511, 10460, 10464, 10457, 10458, 10462, 10466]
2001	20	[2510, 2514, 6692, 2511, 10460, 10464, 10457, 10458, 10462, 10466, 2508, 6968, 6689, 5340, 6966, 6965, 2512, 2507, 7562, 2522]
2001	100	[2510, 2514, 6692, 2511, 10460, 10464, 10457, 10458, 10462, 10466, 2508, 6968, 6689, 5340, 6966, 6965, 2512, 2507, 7562, 2522, 6702, 6701, 5339, 7276, 5342, 7274, 11100, 11102, 11099, 9692, 11054, 9321, 9322, 10697, 10698, 5962, 5961]
2002	5	[9770, 9774, 9776, 9769, 9772]
2002	10	[9770, 9774, 9776, 9769, 9772, 1450, 1452, 12152, 1449, 12149]
2002	20	[9770, 9774, 9776, 9769, 9772, 1450, 1452, 12152, 1449, 12149, 10132, 12154, 12150, 10795, 10796, 6715, 7847, 7848, 6716]
2002	100	[9770, 9774, 9776, 9769, 9772, 1450, 1452, 12152, 1449, 12149, 10132, 12154, 12150, 10795, 10796, 6715, 7847, 7848, 6716]
2003	5	[3318, 1112, 2359, 2364, 2366]
2003	10	[3318, 1112, 2359, 2364, 2366, 2362, 2372, 2370, 2368, 2360]
2003	20	[3318, 1112, 2359, 2364, 2366, 2362, 2372, 2370, 2368, 2360, 5077, 5088, 5078, 5086, 5084, 5082, 5080, 3315, 3320, 3324]
2003	100	[3318, 1112, 2359, 2364, 2366, 2362, 2372, 2370, 2368, 2360, 5077, 5088, 5078, 5086, 5084, 5082, 5080, 3315, 3320, 3324, 3316, 3322, 218, 220, 1111, 217, 9720, 9713, 9714, 9716, 9718, 7680, 1432, 7675, 7678, 7676, 10784, 10781, 5320, 8201, 8202, 5319, 8206, 8204, 9678, 6009, 9241, 6012, 9244, 1430, 618, 620, 617, 6024, 6026, 6028, 7795, 1429, 6015, 9584, 6016, 9583]
2004	5	[9870, 9876, 9872, 9865, 9880]
2004	10	[9870, 9876, 9872, 9865, 9880, 9878, 9882, 9884, 9874, 9868]
