2000	5	[1350, 1349, 1352, 5312, 5132]
2000	10	[1350, 1349, 1352, 5312, 5132, 5308, 5131, 5310, 5307, 5134]
2000	20	[1350, 1349, 1352, 5312, 5132, 5308, 5131, 5310, 5307, 5134, 1279, 1280]
2000	100	[1350, 1349, 1352, 5312, 5132, 5308, 5131, 5310, 5307, 5134, 1279, 1280]
2001	5	[2510, 2514, 6692, 2511, 2508]
2001	10	[2510, 2514, 6692, 2511, 2508, 6689, 6968, 2507, 6966, 6965]
2001	20	[2510, 2514, 6692, 2511, 2508, 6689, 6968, 2507, 6966, 6965, 6702, 7562, 6701, 2512, 2522, 9692, 11054, 10460, 10464, 10457]
2001	100	[2510, 2514, 6692, 2511, 2508, 6689, 6968, 2507, 6966, 6965, 6702, 7562, 6701, 2512, 2522, 9692, 11054, 10460, 10464, 10457, 10458, 10462, 10466, 5340, 5339, 5342, 11100, 11102, 11099, 7276, 7274, 9321, 9322, 10697, 10698, 5962, 5961]
2002	5	[1450, 1452, 1449, 10132, 9770]
2002	10	[1450, 1452, 1449, 10132, 9770, 9774, 9776, 9769, 9772, 12152]
2002	20	[1450, 1452, 1449, 10132, 9770, 9774, 9776, 9769, 9772, 12152, 12149, 12154, 12150, 6715, 6716, 7847, 7848, 10795, 10796]
2002	100	[1450, 1452, 1449, 10132, 9770, 9774, 9776, 9769, 9772, 12152, 12149, 12154, 12150, 6715, 6716, 7847, 7848, 10795, 10796]
2003	5	[5077, 5088, 5078, 5086, 5084]
2003	10	[5077, 5088, 5078, 5086, 5084, 5082, 5080, 2359, 2364, 2366]
2003	20	[5077, 5088, 5078, 5086, 5084, 5082, 5080, 2359, 2364, 2366, 2362, 2372, 2370, 2368, 2360, 3318, 1112, 3315, 3320, 3324]
2003	100	[5077, 5088, 5078, 5086, 5084, 5082, 5080, 2359, 2364, 2366, 2362, 2372, 2370, 2368, 2360, 3318, 1112, 3315, 3320, 3324, 3316, 3322, 218, 220, 1111, 217, 1432, 9678, 9241, 9244, 6009, 6012, 1430, 6024, 6026, 6028, 7680, 8201, 8202, 8206, 8204, 9720, 9713, 9714, 9716, 9718, 7675, 7678, 7676, 1429, 618, 620, 617, 10784, 10781, 5320, 5319, 7795, 6015, 6016, 9584, 9583]
2004	5	[10744, 10738, 10733, 10736, 10742]
2004	10	[10744, 10738, 10733, 10736, 10742, 10740, 10734, 9870, 9876, 9872]
2004	20	[10744, 10738, 10733, 10736, 10742, 10740, 10734, 9870, 9876, 9872, 9865, 9880, 9878, 9882, 9884, 9874, 9868, 9866, 6029, 6034]
2004	100	[10744, 10738, 10733, 10736, 10742, 10740, 10734, 9870, 9876, 9872, 9865, 9880, 9878, 9882, 9884, 9874, 9868, 9866, 6029, 6034, 1256, 7764, 7762, 7760, 7757, 7758, 9760, 8488, 8490, 8486, 8498, 8482, 8494, 8496, 8484, 8481, 8492, 9762, 12105, 12106, 12116, 12110, 12112, 12114, 12108, 11120, 11119, 6032, 11116, 11113, 7688, 2916, 7692, 2915, 2918, 7690, 4454, 4460, 4453, 4462, 4458, 4456, 11106, 11105, 8269, 2444, 1255, 10959, 7771, 7774, 7772, 1252, 9378, 9375, 9380, 9376, 1250, 1249, 9672, 5326, 9694, 9693, 5334, 5333, 5168, 5167]
2005	5	[7588, 7584, 7586, 7578, 7573]
2005	10	[7588, 7584, 7586, 7578, 7573, 7576, 7574, 7580, 7582, 6363]
2005	20	[7588, 7584, 7586, 7578, 7573, 7576, 7574, 7580, 7582, 6363, 6372, 6368, 6374, 6364, 6366, 6370, 2348, 2345, 146, 154]
2005	100	[7588, 7584, 7586, 7578, 7573, 7576, 7574, 7580, 7582, 6363, 6372, 6368, 6374, 6364, 6366, 6370, 2348, 2345, 146, 154, 145, 5328, 2078, 784, 786, 2346, 2350, 3086, 150, 782, 2072, 2071, 2074, 2076, 148, 152, 4763, 4768, 6156, 6042, 6040, 8156, 8152, 8154, 8151, 8371, 788, 10218, 5160, 2092, 7542, 781, 3085, 8378, 8376, 8375, 8068, 8067, 10217, 10659, 2061, 2062, 5345, 5346, 9682, 9686, 9685, 9681, 6073, 6074]
2006	5	[1385, 5927, 4139, 6128, 5338]
2006	10	[1385, 5927, 4139, 6128, 5338, 5845, 11032, 11038, 6130, 5802]
2006	20	[1385, 5927, 4139, 6128, 5338, 5845, 11032, 11038, 6130, 5802, 1242, 6728, 6730, 6734, 6727, 6736, 1241, 134, 1243, 2552]
2006	100	[1385, 5927, 4139, 6128, 5338, 5845, 11032, 11038, 6130, 5802, 1242, 6728, 6730, 6734, 6727, 6736, 1241, 134, 1243, 2552, 5846, 1388, 1386, 10367, 4140, 2357, 133, 11162, 10182, 10178, 10176, 10180, 10175, 10184, 6164, 10236, 11020, 4808, 4803, 4806, 4810, 4812, 4804, 4827, 4828, 4832, 6651, 6656, 6652, 6654, 1968, 1967, 9848, 9847, 9850, 223, 224, 4486, 4485, 9396, 9395]
2007	5	[1130, 1125, 1134, 1126, 1132]
2007	10	[1130, 1125, 1134, 1126, 1132, 1136, 1128, 10391, 10392, 1135]
2007	20	[1130, 1125, 1134, 1126, 1132, 1136, 1128, 10391, 10392, 1135, 3138, 10405, 10406, 1149, 10863, 9607, 3269, 130, 11138, 11140]
2007	100	[1130, 1125, 1134, 1126, 1132, 1136, 1128, 10391, 10392, 1135, 3138, 10405, 10406, 1149, 10863, 9607, 3269, 130, 11138, 11140, 11134, 11136, 11133, 128, 5822, 127, 2270, 2267, 2268, 2272, 5823, 10646, 10648, 10645, 7755, 7756, 7783, 7784, 3254, 3253, 5482, 5481, 4736, 4735, 7570, 7569, 4080, 4079]
2008	5	[1762, 564, 1764, 1759, 562]
2008	10	[1762, 564, 1764, 1759, 562, 1770, 561, 2556, 559, 3146]
2008	20	[1762, 564, 1764, 1759, 562, 1770, 561, 2556, 559, 3146, 3152, 3144, 3148, 3150, 3142, 2555, 1782, 7362, 7356, 7350]
2008	100	[1762, 564, 1764, 1759, 562, 1770, 561, 2556, 559, 3146, 3152, 3144, 3148, 3150, 3142, 2555, 1782, 7362, 7356, 7350, 7349, 7370, 7364, 7354, 7360, 7366, 7368, 7358, 7352, 7374, 7372, 2660, 1771, 2659, 3082, 6622, 6924, 6920, 6918, 6917, 6922, 4915, 4907, 1465, 1470, 1466, 1468, 2046, 9352, 9350, 9354, 9349, 4926, 5680, 5682, 5679, 5684, 560, 6871, 6874, 6872, 6876, 6878, 6621, 2530, 2532, 2529, 2045, 4912, 4910, 4909, 6850, 6852, 6849, 7255, 7665, 7256, 7670, 4678, 4677, 8132, 8131, 10635, 10636, 5664, 5663, 10493, 10494, 11167, 11168]
2009	5	[3109, 7896, 3131, 7898, 7890]
2009	10	[3109, 7896, 3131, 7898, 7890, 7900, 7904, 7902, 7884, 7882]
2009	20	[3109, 7896, 3131, 7898, 7890, 7900, 7904, 7902, 7884, 7882, 7892, 7888, 7894, 7886, 3110, 3136, 8225, 8228, 3133, 8236]
2009	100	[3109, 7896, 3131, 7898, 7890, 7900, 7904, 7902, 7884, 7882, 7892, 7888, 7894, 7886, 3110, 3136, 8225, 8228, 3133, 8236, 8233, 7065, 7074, 7066, 7068, 7070, 7078, 7072, 7076, 7549, 5563, 5561, 9302, 9299, 9304, 8414, 8420, 8416, 8409, 8422, 8412, 8418, 8410, 5142, 5144, 5146, 5140, 5139, 5671, 5674, 9397, 99, 5672, 6641, 6642, 100, 11579, 116, 7325, 3313, 3314, 9398, 9689, 9690, 6893, 6894, 5351, 5354, 5352, 5353, 6996, 6995, 5537, 5538]
2010	5	[414, 406, 408, 1338, 402]
2010	10	[414, 406, 408, 1338, 402, 412, 418, 410, 416, 404]
2010	20	[414, 406, 408, 1338, 402, 412, 418, 410, 416, 404, 624, 401, 422, 419, 1337, 4728, 4012, 9586, 9362, 8718]
2010	100	[414, 406, 408, 1338, 402, 412, 418, 410, 416, 404, 624, 401, 422, 419, 1337, 4728, 4012, 9586, 9362, 8718, 470, 2543, 3448, 3450, 3446, 437, 7001, 2846, 118, 4013, 5531, 119, 2845, 117, 10978, 10967, 10974, 10976, 10970, 10972, 10968, 1489, 1490, 10207, 623, 7280, 7288, 7282, 7284, 7279, 7290, 7286, 5808, 7830, 5379, 7039, 7044, 7040, 7042, 7046, 7834, 7836, 5812, 3256, 1728, 10365, 1725, 5377, 5809, 6200, 6202, 6204, 6206, 6199, 6082, 6084, 6088, 6081, 6086, 10614, 5806, 4305, 1966, 1965, 5122, 5121, 3311, 3312, 6007, 6008, 10496, 10495]
2011	5	[8774, 8760, 8762, 8748, 8770]
2011	10	[8774, 8760, 8762, 8748, 8770, 8756, 8746, 8752, 8780, 8778]
2011	20	[8774, 8760, 8762, 8748, 8770, 8756, 8746, 8752, 8780, 8778, 8750, 8742, 8768, 8776, 8772, 8739, 8754, 8744, 8766, 8758]
2011	100	[8774, 8760, 8762, 8748, 8770, 8756, 8746, 8752, 8780, 8778, 8750, 8742, 8768, 8776, 8772, 8739, 8754, 8744, 8766, 8758, 8764, 8740, 2589, 4, 3, 2819, 135, 2134, 3116, 3118, 1205, 7540, 248, 6237, 2820, 3062, 3066, 3064, 3436, 3434, 9407, 9410, 1720, 1004, 9796, 6222, 6220, 5073, 1003, 1265, 1010, 2058, 9791, 138, 1203, 136, 1210, 246, 2590, 2592, 2594, 6123, 6602, 6604, 3106, 1722, 243, 5479, 1684, 4155, 3534, 2476, 2472, 2474, 2478, 2471, 7198, 7196, 7200, 7195, 2332, 2330, 2329, 2334, 2466, 2468, 2465, 8664, 8666, 8668, 8663, 7181, 7182, 7184, 805, 808, 806, 10696, 10695, 9688]
2012	5	[2894, 970, 1326, 968, 1324]
2012	10	[2894, 970, 1326, 968, 1324, 1323, 2048, 1834, 1838, 1827]
2012	20	[2894, 970, 1326, 968, 1324, 1323, 2048, 1834, 1838, 1827, 1828, 1846, 1842, 1844, 1830, 1836, 1840, 1832, 1848, 11527]
2012	100	[2894, 970, 1326, 968, 1324, 1323, 2048, 1834, 1838, 1827, 1828, 1846, 1842, 1844, 1830, 1836, 1840, 1832, 1848, 11527, 6249, 2899, 4717, 11929, 5975, 11205, 11932, 4032, 4025, 4036, 4034, 4038, 763, 1627, 972, 964, 966, 963, 6148, 10518, 10404, 1636, 10516, 7030, 10374, 1632, 4716, 1484, 2892, 10776, 2891, 11922, 10965, 5530, 7744, 5527, 6145, 9830, 9832, 9828, 6597, 766, 764, 768, 4146, 4142, 4144, 4141, 1482, 5164, 1486, 5162, 9582, 9696, 9695, 9698, 11531, 11570, 11532, 11569, 8307, 8308, 11111, 4152, 11112, 4151, 6961, 6962, 10260, 10259, 9388, 9387, 6362, 6361, 1330, 1329, 7828, 7827]
2013	5	[1197, 798, 2651, 797, 7014]
2013	10	[1197, 798, 2651, 797, 7014, 7012, 8282, 7011, 5577, 1090]
2013	20	[1197, 798, 2651, 797, 7014, 7012, 8282, 7011, 5577, 1090, 1198, 6949, 10008, 10018, 10007, 10012, 10016, 10010, 10022, 10024]
2013	100	[1197, 798, 2651, 797, 7014, 7012, 8282, 7011, 5577, 1090, 1198, 6949, 10008, 10018, 10007, 10012, 10016, 10010, 10022, 10024, 6816, 4692, 2, 5186, 5172, 5174, 5169, 5176, 5170, 5184, 5178, 5182, 5180, 5188, 11233, 11254, 11234, 11236, 11238, 11244, 10956, 11242, 11250, 1086, 1, 6813, 9979, 9984, 801, 2746, 2751, 2756, 1448, 1240, 8622, 8618, 1106, 2758, 1085, 2654, 4694, 2750, 2745, 6946, 1623, 6840, 1239, 996, 4300, 6198, 5653, 1092, 1088, 6630, 1496, 3247, 993, 6952, 1199, 5558, 7820, 7816, 7815, 6608, 3252, 5815, 5224, 6948, 1271, 6812, 7010, 997, 7188, 6846, 994, 7179, 1272, 8280, 8271, 8272]
2014	5	[77, 604, 252, 272, 2568]
2014	10	[77, 604, 252, 272, 2568, 280, 4744, 1669, 84, 300]
2014	20	[77, 604, 252, 272, 2568, 280, 4744, 1669, 84, 300, 255, 274, 284, 276, 256, 267, 1332, 2669, 4190, 4184]
