2000	5	[1350, 5312, 1349, 5132, 5308]
2000	10	[1350, 5312, 1349, 5132, 5308, 5131, 5310, 5307, 1352, 5134]
2000	20	[1350, 5312, 1349, 5132, 5308, 5131, 5310, 5307, 1352, 5134, 1279, 1280]
2000	100	[1350, 5312, 1349, 5132, 5308, 5131, 5310, 5307, 1352, 5134, 1279, 1280]
2001	5	[11100, 2507, 6966, 6702, 7562]
2001	10	[11100, 2507, 6966, 6702, 7562, 5339, 7276, 10460, 10464, 11102]
2001	20	[11100, 2507, 6966, 6702, 7562, 5339, 7276, 10460, 10464, 11102, 6701, 10457, 2522, 11099, 2512, 10458, 10462, 10466, 5342, 6965]
2001	100	[11100, 2507, 6966, 6702, 7562, 5339, 7276, 10460, 10464, 11102, 6701, 10457, 2522, 11099, 2512, 10458, 10462, 10466, 5342, 6965, 7274, 6689, 2511, 6692, 6968, 5340, 2514, 2508, 2510, 9321, 9692, 9322, 10697, 10698, 11054, 5962, 5961]
2002	5	[9770, 1450, 1452, 9774, 12152]
2002	10	[9770, 1450, 1452, 9774, 12152, 9776, 1449, 9769, 12149, 9772]
2002	20	[9770, 1450, 1452, 9774, 12152, 9776, 1449, 9769, 12149, 9772, 10132, 12154, 12150, 10795, 10796, 6715, 7847, 7848, 6716]
2002	100	[9770, 1450, 1452, 9774, 12152, 9776, 1449, 9769, 12149, 9772, 10132, 12154, 12150, 10795, 10796, 6715, 7847, 7848, 6716]
2003	5	[5077, 7675, 5088, 10784, 5078]
2003	10	[5077, 7675, 5088, 10784, 5078, 218, 3315, 3320, 10781, 9720]
2003	20	[5077, 7675, 5088, 10784, 5078, 218, 3315, 3320, 10781, 9720, 618, 5086, 2359, 5320, 7678, 8201, 2364, 9713, 9714, 2366]
2003	100	[5077, 7675, 5088, 10784, 5078, 218, 3315, 3320, 10781, 9720, 618, 5086, 2359, 5320, 7678, 8201, 2364, 9713, 9714, 2366, 8202, 220, 3324, 9678, 5084, 6009, 5082, 3316, 3322, 2362, 5319, 9716, 5080, 8206, 2372, 620, 2370, 9241, 6012, 7676, 8204, 2368, 1111, 217, 9718, 617, 2360, 9244, 7680, 1432, 3318, 1112, 1429, 6024, 6026, 6015, 9584, 6028, 1430, 6016, 7795, 9583]
2004	5	[10738, 7764, 9378, 7771, 9870]
2004	10	[10738, 7764, 9378, 7771, 9870, 4454, 9375, 1250, 7688, 12105]
2004	20	[10738, 7764, 9378, 7771, 9870, 4454, 9375, 1250, 7688, 12105, 9876, 10733, 10736, 9872, 7774, 9380, 4460, 8488, 9865, 10742]
2004	100	[10738, 7764, 9378, 7771, 9870, 4454, 9375, 1250, 7688, 12105, 9876, 10733, 10736, 9872, 7774, 9380, 4460, 8488, 9865, 10742, 7772, 8490, 11116, 12106, 8486, 4453, 9880, 11113, 7762, 8498, 12116, 8482, 9878, 9882, 1249, 11120, 12110, 10740, 2916, 9884, 9874, 8494, 9672, 11119, 10734, 4462, 6032, 12112, 7692, 7760, 11106, 9762, 8496, 8484, 12114, 7757, 8481, 9868, 11105, 2915, 2918, 9376, 5326, 4458, 7690, 4456, 8492, 7758, 9866, 12108, 10744, 9760, 6029, 6034, 1252, 1256, 5168, 9694, 2444, 5334, 9693, 1255, 5333, 8269, 10959, 5167]
2005	5	[2072, 6363, 4763, 7588, 7584]
2005	10	[2072, 6363, 4763, 7588, 7584, 7586, 6372, 4768, 7578, 8371]
2005	20	[2072, 6363, 4763, 7588, 7584, 7586, 6372, 4768, 7578, 8371, 8156, 6042, 8152, 6040, 6368, 8154, 2071, 2074, 8378, 7573]
2005	100	[2072, 6363, 4763, 7588, 7584, 7586, 6372, 4768, 7578, 8371, 8156, 6042, 8152, 6040, 6368, 8154, 2071, 2074, 8378, 7573, 7576, 2346, 6374, 148, 8376, 2076, 6364, 788, 6366, 7574, 8375, 7580, 2350, 7582, 8151, 6156, 6370, 152, 154, 145, 5328, 146, 150, 2348, 2345, 784, 786, 2078, 782, 3086, 2061, 10217, 8068, 9682, 10218, 5160, 6073, 7542, 5345, 6074, 9686, 781, 9685, 10659, 5346, 2062, 8067, 9681, 3085, 2092]
2006	5	[6130, 4803, 4806, 11032, 133]
2006	10	[6130, 4803, 4806, 11032, 133, 10182, 9848, 4810, 6651, 6728]
2006	20	[6130, 4803, 4806, 11032, 133, 10182, 9848, 4810, 6651, 6728, 10178, 6730, 4827, 4812, 4804, 4828, 4140, 1388, 10176, 6656]
2006	100	[6130, 4803, 4806, 11032, 133, 10182, 9848, 4810, 6651, 6728, 10178, 6730, 4827, 4812, 4804, 4828, 4140, 1388, 10176, 6656, 11038, 9847, 5846, 6734, 2552, 6652, 6727, 6654, 10180, 10175, 9850, 10367, 4832, 11162, 10184, 6736, 1386, 5845, 6128, 5802, 1243, 5927, 4808, 5338, 4139, 1385, 1242, 134, 223, 4486, 1968, 10236, 1967, 9396, 11020, 6164, 2357, 9395, 224, 1241, 4485]
2007	5	[2270, 10405, 128, 2267, 5822]
2007	10	[2270, 10405, 128, 2267, 5822, 127, 11138, 2268, 10646, 2272]
2007	20	[2270, 10405, 128, 2267, 5822, 127, 11138, 2268, 10646, 2272, 11140, 1128, 10391, 11134, 10406, 10392, 11136, 1135, 11133, 1132]
2007	100	[2270, 10405, 128, 2267, 5822, 127, 11138, 2268, 10646, 2272, 11140, 1128, 10391, 11134, 10406, 10392, 11136, 1135, 11133, 1132, 10648, 3138, 10645, 1126, 130, 1125, 1136, 1134, 1130, 7783, 4736, 9607, 4735, 7755, 3269, 7570, 5482, 5481, 1149, 7569, 4080, 4079, 7756, 10863, 5823, 3254, 7784, 3253]
2008	5	[1465, 7362, 2660, 7356, 1771]
2008	10	[1465, 7362, 2660, 7356, 1771, 3146, 6850, 4912, 9352, 2530]
2008	20	[1465, 7362, 2660, 7356, 1771, 3146, 6850, 4912, 9352, 2530, 7350, 7349, 7370, 1470, 3082, 6924, 3152, 7255, 6871, 3144]
2008	100	[1465, 7362, 2660, 7356, 1771, 3146, 6850, 4912, 9352, 2530, 7350, 7349, 7370, 1470, 3082, 6924, 3152, 7255, 6871, 3144, 6920, 1466, 7364, 7354, 9350, 5680, 5682, 6852, 7360, 7665, 9354, 1770, 6874, 9349, 5679, 3148, 3150, 7366, 7368, 4910, 6918, 7358, 5684, 3142, 6872, 6917, 6922, 2659, 6876, 7256, 7352, 561, 7670, 7374, 6878, 2532, 2529, 2555, 7372, 4909, 1468, 6849, 1782, 2556, 559, 562, 1759, 1764, 564, 1762, 5664, 4926, 2045, 11167, 2046, 4678, 4677, 10635, 5663, 10636, 6621, 560, 10493, 10494, 6622, 8132, 4915, 8131, 11168, 4907]
2009	5	[7896, 3131, 8414, 6641, 9302]
2009	10	[7896, 3131, 8414, 6641, 9302, 8420, 5672, 8416, 5142, 7898]
2009	20	[7896, 3131, 8414, 6641, 9302, 8420, 5672, 8416, 5142, 7898, 9299, 100, 5144, 8409, 8236, 7890, 7900, 5146, 7325, 9304]
2009	100	[7896, 3131, 8414, 6641, 9302, 8420, 5672, 8416, 5142, 7898, 9299, 100, 5144, 8409, 8236, 7890, 7900, 5146, 7325, 9304, 8422, 7065, 7074, 7066, 7068, 7070, 7904, 8225, 7902, 8412, 8418, 5140, 7884, 7078, 7882, 8410, 11579, 7072, 8228, 7892, 5139, 6642, 8233, 7888, 7076, 7894, 7886, 5671, 5674, 3136, 3133, 3109, 9397, 99, 3110, 9689, 5351, 3313, 9690, 6996, 3314, 7549, 5354, 5537, 116, 5352, 9398, 5353, 6893, 5561, 6995, 5563, 5538, 6894]
2010	5	[7039, 2543, 3448, 5531, 6082]
2010	10	[7039, 2543, 3448, 5531, 6082, 117, 1489, 3450, 10978, 1490]
2010	20	[7039, 2543, 3448, 5531, 6082, 117, 1489, 3450, 10978, 1490, 9362, 7830, 10967, 4728, 7280, 5379, 7834, 6084, 6200, 7288]
2010	100	[7039, 2543, 3448, 5531, 6082, 117, 1489, 3450, 10978, 1490, 9362, 7830, 10967, 4728, 7280, 5379, 7834, 6084, 6200, 7288, 4013, 5808, 7044, 10974, 7040, 6088, 3446, 7282, 7042, 7284, 6202, 8718, 7001, 7836, 7279, 422, 5812, 7290, 10976, 6204, 7046, 6081, 4012, 10970, 7286, 419, 437, 9586, 10972, 3256, 6206, 119, 10207, 6199, 6086, 10968, 401, 416, 1337, 404, 118, 2846, 2845, 410, 418, 470, 412, 402, 406, 414, 408, 1728, 1338, 623, 624, 4305, 5377, 1966, 10614, 10496, 6007, 1965, 10495, 3311, 5806, 10365, 3312, 5809, 5122, 6008, 5121, 1725]
2011	5	[7181, 6123, 3062, 8774, 2590]
2011	10	[7181, 6123, 3062, 8774, 2590, 8760, 8762, 1722, 3436, 805]
2011	20	[7181, 6123, 3062, 8774, 2590, 8760, 8762, 1722, 3436, 805, 8748, 2476, 8770, 2332, 7198, 8664, 2472, 8666, 136, 8756]
2011	100	[7181, 6123, 3062, 8774, 2590, 8760, 8762, 1722, 3436, 805, 8748, 2476, 8770, 2332, 7198, 8664, 2472, 8666, 136, 8756, 7182, 9791, 2330, 808, 7196, 3434, 7200, 8746, 2058, 2474, 8752, 8668, 8780, 7195, 8778, 8663, 2592, 2466, 3066, 8750, 2478, 8742, 246, 8768, 138, 1203, 2468, 8776, 9407, 2594, 2471, 9410, 3064, 8772, 2329, 8739, 1210, 8754, 1265, 6602, 2465, 5479, 6222, 8744, 2334, 1684, 8766, 8758, 7184, 1003, 8764, 806, 6604, 8740, 6220, 6237, 3118, 1004, 9796, 3116, 1010, 248, 7540, 3, 2134, 2819, 4, 135, 1205, 2589, 2820, 1720, 243, 6223, 10669, 11013, 5974, 10696, 4722, 3534]
2012	5	[11527, 4146, 1834, 5164, 6249]
2012	10	[11527, 4146, 1834, 5164, 6249, 11922, 9830, 10518, 10374, 11531]
2012	20	[11527, 4146, 1834, 5164, 6249, 11922, 9830, 10518, 10374, 11531, 972, 5530, 1838, 1632, 10965, 2899, 7744, 10404, 4032, 9696]
2012	100	[11527, 4146, 1834, 5164, 6249, 11922, 9830, 10518, 10374, 11531, 972, 5530, 1838, 1632, 10965, 2899, 7744, 10404, 4032, 9696, 11570, 6148, 4717, 1636, 11929, 4025, 9832, 964, 966, 1486, 4036, 5162, 9695, 11532, 1827, 4034, 9698, 1828, 5975, 766, 2892, 1846, 1842, 1844, 10516, 764, 2891, 1830, 768, 1482, 1836, 10776, 4038, 11205, 4142, 4144, 1840, 963, 1832, 1848, 4141, 11932, 9828, 11569, 7030, 1484, 4716, 968, 1627, 2048, 970, 1323, 1324, 1326, 2894, 763, 5527, 1330, 6362, 11111, 4152, 7828, 7827, 6361, 9388, 10260, 11112, 6597, 1329, 8307, 4151, 6961, 9582, 10259, 8308, 6962, 9387, 6145]
2013	5	[10008, 1, 3632, 1299, 6630]
2013	10	[10008, 1, 3632, 1299, 6630, 6638, 710, 10018, 5169, 10007]
2013	20	[10008, 1, 3632, 1299, 6630, 6638, 710, 10018, 5169, 10007, 6813, 5176, 6157, 8622, 1729, 5170, 6158, 7188, 11025, 2750]
2013	100	[10008, 1, 3632, 1299, 6630, 6638, 710, 10018, 5169, 10007, 6813, 5176, 6157, 8622, 1729, 5170, 6158, 7188, 11025, 2750, 1302, 7820, 7816, 3628, 5184, 11233, 716, 712, 5362, 1496, 11028, 7543, 714, 707, 1300, 1732, 10012, 1730, 2758, 8280, 7803, 5364, 1092, 10867, 11254, 10246, 6636, 718, 5178, 10016, 7544, 8271, 11234, 5558, 7808, 5653, 6160, 6946, 7180, 5360, 10010, 708, 10022, 11236, 1304, 5359, 10244, 2745, 7815, 3627, 10243, 10874, 11238, 10868, 1088, 4300, 3630, 8618, 720, 10852, 5224, 10872, 8272, 11244, 11026, 10956, 5182, 5180, 7546, 10024, 5188, 10850, 11242, 3247, 1106, 6952, 10849, 11250, 4694, 6635]
2014	5	[2696, 4200, 9734, 10579, 6166]
2014	10	[2696, 4200, 9734, 10579, 6166, 10654, 11602, 1745, 253, 3302]
2014	20	[2696, 4200, 9734, 10579, 6166, 10654, 11602, 1745, 253, 3302, 8097, 5608, 10249, 11606, 2688, 5604, 260, 7155, 8470, 1391]
2014	100	[2696, 4200, 9734, 10579, 6166, 10654, 11602, 1745, 253, 3302, 8097, 5608, 10249, 11606, 2688, 5604, 260, 7155, 8470, 1391, 11022, 1274, 5610, 7728, 6254, 11185, 11616, 6348, 11364, 11190, 6416, 303, 1336, 4708, 8468, 11592, 4444, 7017, 11374, 5786, 6424, 8081, 5936, 11610, 4704, 7156, 6426, 11608, 6420, 4183, 8465, 11360, 6343, 7734, 11376, 8259, 11372, 4210, 4192, 8466, 11600, 5475, 6256, 11598, 10700, 10138, 9203, 7785, 5935, 7132, 10140, 7130, 11618, 80, 11596, 3300, 7128, 10137, 10388, 1658, 10699, 936, 9736, 10250, 10252, 8572, 2672, 11612, 3305, 6258, 11614, 11604, 8262, 7134, 9858, 7125, 5570, 5858, 6587, 2678]
2015	5	[4487, 9616, 6585, 10846, 10286]
2015	10	[4487, 9616, 6585, 10846, 10286, 1976, 3488, 4162, 5400, 4164]
2015	20	[4487, 9616, 6585, 10846, 10286, 1976, 3488, 4162, 5400, 4164, 2417, 9257, 11129, 3510, 10930, 2420, 4168, 6274, 5546, 6280]
