2000	5	[1350, 1349, 1352, 5312, 5308]
2000	10	[1350, 1349, 1352, 5312, 5308, 5310, 5307, 5132, 5131, 5134]
2000	20	[1350, 1349, 1352, 5312, 5308, 5310, 5307, 5132, 5131, 5134, 1279, 1280]
2000	100	[1350, 1349, 1352, 5312, 5308, 5310, 5307, 5132, 5131, 5134, 1279, 1280]
2001	5	[2510, 2507, 10460, 10464, 10457]
2001	10	[2510, 2507, 10460, 10464, 10457, 10458, 10462, 10466, 11100, 6702]
2001	20	[2510, 2507, 10460, 10464, 10457, 10458, 10462, 10466, 11100, 6702, 7562, 11102, 6701, 11099, 2512, 6966, 6965, 2511, 5339, 7276]
2001	100	[2510, 2507, 10460, 10464, 10457, 10458, 10462, 10466, 11100, 6702, 7562, 11102, 6701, 11099, 2512, 6966, 6965, 2511, 5339, 7276, 2522, 5342, 7274, 6689, 6692, 2514, 6968, 2508, 5340, 9321, 9322, 10697, 10698, 5962, 5961, 9692, 11054]
2002	5	[9770, 9774, 9776, 9769, 9772]
2002	10	[9770, 9774, 9776, 9769, 9772, 1450, 1452, 1449, 10132, 12152]
2002	20	[9770, 9774, 9776, 9769, 9772, 1450, 1452, 1449, 10132, 12152, 12149, 12154, 12150, 10795, 10796, 6715, 7847, 7848, 6716]
2002	100	[9770, 9774, 9776, 9769, 9772, 1450, 1452, 1449, 10132, 12152, 12149, 12154, 12150, 10795, 10796, 6715, 7847, 7848, 6716]
2003	5	[5077, 5088, 5078, 5086, 5084]
2003	10	[5077, 5088, 5078, 5086, 5084, 5082, 5080, 2359, 2364, 2366]
2003	20	[5077, 5088, 5078, 5086, 5084, 5082, 5080, 2359, 2364, 2366, 2362, 2372, 2370, 2368, 2360, 3315, 3320, 3324, 3316, 3322]
2003	100	[5077, 5088, 5078, 5086, 5084, 5082, 5080, 2359, 2364, 2366, 2362, 2372, 2370, 2368, 2360, 3315, 3320, 3324, 3316, 3322, 218, 220, 1111, 217, 8201, 8202, 8206, 8204, 9720, 618, 9713, 9714, 9716, 620, 9241, 9718, 617, 9244, 7675, 10784, 10781, 5320, 7678, 5319, 7676, 9678, 6009, 6012, 3318, 1112, 7680, 1432, 1430, 1429, 6024, 6026, 6015, 9584, 6028, 6016, 7795, 9583]
2004	5	[10738, 10733, 10736, 10742, 10740]
2004	10	[10738, 10733, 10736, 10742, 10740, 10734, 9870, 9876, 9872, 9865]
2004	20	[10738, 10733, 10736, 10742, 10740, 10734, 9870, 9876, 9872, 9865, 9880, 9878, 9882, 9884, 9874, 10744, 9868, 9866, 7764, 7762]
