year	currentIteration	infectedNodes
2000	1	{"5131___support vector machine":[],"1352___motion estimation ":[],"1350___simulation":[],"1349___nonlinear system":[],"5132___feature vector":["5134___experiment"]}
2000	2	{"5134___experiment":[]}
2000	1	{"5131___support vector machine":[],"5310___delay":[],"5307___periodic solution":[],"1352___motion estimation ":[],"5134___experiment":[],"1350___simulation":[],"5312___lyapunov functional":[],"1349___nonlinear system":[],"5132___feature vector":[],"5308___43.80.+p":[]}
2000	1	{"1279___artificial neural network":[],"5131___support vector machine":[],"5310___delay":[],"5307___periodic solution":[],"1352___motion estimation ":[],"5134___experiment":[],"1350___simulation":[],"5312___lyapunov functional":[],"1349___nonlinear system":[],"1280___neural network simulation":[],"5132___feature vector":[],"5308___43.80.+p":[]}
2000	1	{"1279___artificial neural network":[],"5131___support vector machine":[],"5310___delay":[],"5307___periodic solution":[],"1352___motion estimation ":[],"5134___experiment":[],"1350___simulation":[],"5312___lyapunov functional":[],"1349___nonlinear system":[],"1280___neural network simulation":[],"5132___feature vector":[],"5308___43.80.+p":[]}
2001	1	{"2510___signal processing":["2507___signal processing algorithms","6702___fading"],"2511___state-space methods":["2512___mathematics"],"2514___state estimation":["2522___monte carlo methods"],"6689___filtering":["7562___bayesian methods"],"6692___stochastic processes":[]}
2001	2	{"2522___monte carlo methods":[],"2512___mathematics":[],"2507___signal processing algorithms":[],"6702___fading":[],"7562___bayesian methods":[]}
2001	1	{"6968___deconvolution":["11054___smoothing methods","6966___linear systems"],"2508___filtering algorithms":["9692___particle filters"],"2510___signal processing":["6701___laboratories","6702___fading"],"2512___mathematics":[],"2507___signal processing algorithms":[],"2511___state-space methods":[],"2514___state estimation":["6965___computer simulation"],"6689___filtering":[],"7562___bayesian methods":[],"6692___stochastic processes":[]}
2001	2	{"11054___smoothing methods":[],"9692___particle filters":[],"6701___laboratories":[],"6966___linear systems":[],"6702___fading":[],"6965___computer simulation":[]}
2001	1	{"11100___domain ontologies":[],"2508___filtering algorithms":["9692___particle filters"],"2510___signal processing":[],"11099___widely acknowledged":[],"2512___mathematics":[],"2507___signal processing algorithms":[],"6966___linear systems":[],"6702___fading":[],"7562___bayesian methods":[],"6968___deconvolution":["11054___smoothing methods"],"10460___projection learning":["10462___generalization capability"],"10464___generalization (psychology)":[],"11102___useful tools":[],"2511___state-space methods":[],"6701___laboratories":[],"2514___state estimation":[],"10457___multilayer feedforward neural networks":[],"6689___filtering":[],"6965___computer simulation":[],"6692___stochastic processes":[]}
2001	2	{"11054___smoothing methods":[],"9692___particle filters":[],"10462___generalization capability":[]}
