2000	5	[1279, 1350, 5312, 1349, 5132]
2000	10	[1279, 1350, 5312, 1349, 5132, 5308, 5131, 5310, 5307, 1352]
2000	20	[1279, 1350, 5312, 1349, 5132, 5308, 5131, 5310, 5307, 1352, 5134, 1280]
2000	100	[1279, 1350, 5312, 1349, 5132, 5308, 5131, 5310, 5307, 1352, 5134, 1280]
2001	5	[2510, 2514, 5340, 2508, 6968]
2001	10	[2510, 2514, 5340, 2508, 6968, 2511, 6692, 6689, 11100, 9321]
2001	20	[2510, 2514, 5340, 2508, 6968, 2511, 6692, 6689, 11100, 9321, 10460, 10464, 11102, 10457, 9322, 10697, 10698, 11099, 5962, 10458]
2001	100	[2510, 2514, 5340, 2508, 6968, 2511, 6692, 6689, 11100, 9321, 10460, 10464, 11102, 10457, 9322, 10697, 10698, 11099, 5962, 10458, 5961, 10462, 10466, 5339, 7276, 5342, 7274, 6966, 6965, 6702, 6701, 2507, 2522, 7562, 2512, 9692, 11054]
2002	5	[9770, 10795, 10796, 1450, 1452]
2002	10	[9770, 10795, 10796, 1450, 1452, 6715, 7847, 9774, 12152, 9776]
2002	20	[9770, 10795, 10796, 1450, 1452, 6715, 7847, 9774, 12152, 9776, 1449, 7848, 9769, 12149, 9772, 10132, 12154, 6716, 12150]
2002	100	[9770, 10795, 10796, 1450, 1452, 6715, 7847, 9774, 12152, 9776, 1449, 7848, 9769, 12149, 9772, 10132, 12154, 6716, 12150]
2003	5	[1112, 3318, 7680, 1111, 218]
2003	10	[1112, 3318, 7680, 1111, 218, 220, 217, 1432, 3315, 3320]
2003	20	[1112, 3318, 7680, 1111, 218, 220, 217, 1432, 3315, 3320, 3324, 3316, 3322, 7675, 7678, 7676, 2359, 2364, 2366, 2362]
