2000	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}
2000	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}
2000	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}
2000	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}	{1279: artificial neural network=0.0, 1350: simulation=1.0, 5312: lyapunov functional=1.0, 1349: nonlinear system=1.0, 5132: feature vector=1.0, 5308: 43.80.+p=1.0, 5131: support vector machine=1.0, 5310: delay=1.0, 5307: periodic solution=1.0, 1352: motion estimation =1.0, 5134: experiment=1.0, 1280: neural network simulation=0.0}
2001	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}
2001	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}
2001	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}
2001	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}	{11100: domain ontologies=1.0, 9321: markov chain monte carlo =0.0, 2507: signal processing algorithms=1.0, 6966: linear systems=1.0, 6702: fading=1.0, 7562: bayesian methods=1.0, 5339: feedforward neural network=1.0, 6968: deconvolution=0.4, 7276: real life=1.0, 10460: projection learning=1.0, 9692: particle filters=0.0, 10464: generalization (psychology)=1.0, 11102: useful tools=1.0, 2511: state-space methods=0.6, 6701: laboratories=1.0, 2514: state estimation=0.32142857142857145, 10457: multilayer feedforward neural networks=1.0, 9322: importance sampling =0.0, 10697: s function=0.0, 5340: artificial neural network=0.3333333333333333, 2508: filtering algorithms=0.3, 2510: signal processing=0.2222222222222222, 2522: monte carlo methods=1.0, 10698: passage method=0.0, 11054: smoothing methods=0.0, 11099: widely acknowledged=1.0, 2512: mathematics=1.0, 5962: transportable machine understanding=0.0, 10458: increment=1.0, 5961: formal ontologies=0.0, 10462: generalization capability=1.0, 10466: reproducing kernel hilbert space=1.0, 5342: algorithm=1.0, 6689: filtering=0.6666666666666666, 6965: computer simulation=1.0, 6692: stochastic processes=0.6, 7274: cluster analysis=1.0}
2002	{9770: blind source separation=1.0, 10795: business models=0.0, 10796: consider thinking=0.0, 1450: monte carlo methods=1.0, 1452: signal processing=1.0, 6715: filtering algorithms=0.0, 7847: lyapunov function=0.0, 9774: overcomplete situation=1.0, 12152: patent trademark=1.0, 9776: unsupervised learning=1.0, 1449: bayesian methods=1.0, 7848: global exponential stability=0.0, 9769: independent component analysis=1.0, 12149: intellectual property=1.0, 9772: important method=1.0, 10132: speech processing=1.0, 12154: organization company=1.0, 6716: state estimation=0.0, 12150: program product=1.0}	{9770: blind source separation=1.0, 10795: business models=0.0, 10796: consider thinking=0.0, 1450: monte carlo methods=1.0, 1452: signal processing=1.0, 6715: filtering algorithms=0.0, 7847: lyapunov function=0.0, 9774: overcomplete situation=1.0, 12152: patent trademark=1.0, 9776: unsupervised learning=1.0, 1449: bayesian methods=1.0, 7848: global exponential stability=0.0, 9769: independent component analysis=1.0, 12149: intellectual property=1.0, 9772: important method=1.0, 10132: speech processing=1.0, 12154: organization company=1.0, 6716: state estimation=0.0, 12150: program product=1.0}
2002	{9770: blind source separation=1.0, 10795: business models=0.0, 10796: consider thinking=0.0, 1450: monte carlo methods=1.0, 1452: signal processing=1.0, 6715: filtering algorithms=0.0, 7847: lyapunov function=0.0, 9774: overcomplete situation=1.0, 12152: patent trademark=1.0, 9776: unsupervised learning=1.0, 1449: bayesian methods=1.0, 7848: global exponential stability=0.0, 9769: independent component analysis=1.0, 12149: intellectual property=1.0, 9772: important method=1.0, 10132: speech processing=1.0, 12154: organization company=1.0, 6716: state estimation=0.0, 12150: program product=1.0}	{9770: blind source separation=1.0, 10795: business models=0.0, 10796: consider thinking=0.0, 1450: monte carlo methods=1.0, 1452: signal processing=1.0, 6715: filtering algorithms=0.0, 7847: lyapunov function=0.0, 9774: overcomplete situation=1.0, 12152: patent trademark=1.0, 9776: unsupervised learning=1.0, 1449: bayesian methods=1.0, 7848: global exponential stability=0.0, 9769: independent component analysis=1.0, 12149: intellectual property=1.0, 9772: important method=1.0, 10132: speech processing=1.0, 12154: organization company=1.0, 6716: state estimation=0.0, 12150: program product=1.0}
2002	{9770: blind source separation=1.0, 10795: business models=0.0, 10796: consider thinking=0.0, 1450: monte carlo methods=1.0, 1452: signal processing=1.0, 6715: filtering algorithms=0.0, 7847: lyapunov function=0.0, 9774: overcomplete situation=1.0, 12152: patent trademark=1.0, 9776: unsupervised learning=1.0, 1449: bayesian methods=1.0, 7848: global exponential stability=0.0, 9769: independent component analysis=1.0, 12149: intellectual property=1.0, 9772: important method=1.0, 10132: speech processing=1.0, 12154: organization company=1.0, 6716: state estimation=0.0, 12150: program product=1.0}	{9770: blind source separation=1.0, 10795: business models=0.0, 10796: consider thinking=0.0, 1450: monte carlo methods=1.0, 1452: signal processing=1.0, 6715: filtering algorithms=0.0, 7847: lyapunov function=0.0, 9774: overcomplete situation=1.0, 12152: patent trademark=1.0, 9776: unsupervised learning=1.0, 1449: bayesian methods=1.0, 7848: global exponential stability=0.0, 9769: independent component analysis=1.0, 12149: intellectual property=1.0, 9772: important method=1.0, 10132: speech processing=1.0, 12154: organization company=1.0, 6716: state estimation=0.0, 12150: program product=1.0}
